park, ride_name, wait_time, status, date-time
"Disneyland","Peter Pan's Flight ","30","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Pinocchio's Daring Journey","15","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Pirate's Lair on Tom Sawyer Island","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Pirates of the Caribbean ","20","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Roger Rabbit's Car Toon Spin","0","Down","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Sailing Ship Columbia","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Sleeping Beauty Castle Walkthrough","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Snow White's Scary Adventures","15","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Space Mountain","45","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Splash Mountain","40","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Star Tours - The Adventures Continue","20","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Storybook Land Canal Boats","0","Down","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Tarzan's Treehouse","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","The Many Adventures of Winnie the Pooh","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","The Disneyland Story presenting Great Moments with Mr. Lincoln","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland",""it's a small world"","10","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Alice in Wonderland","35","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Main Street Vehicles","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Pixie Hollow","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Fantasmic! – Returning July 17th","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","The Disney Gallery","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Trick-or-Treating at Mickey’s Halloween Party","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Jingle Cruise","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland",""it's a small world" Holiday","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Star Wars Launch Bay","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Hyperspace Mountain","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Star Wars: Path of the Jedi","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Haunted Mansion Holiday","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Space Mountain Ghost Galaxy","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Main Street Pumpkin Festival","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Holiday Décor","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Mickey's Park Rangers on the Rivers of America","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
