park, ride_name, wait_time, status, date-time
"California Adventure","Animation Academy","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","California Screamin'","10","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Flik's Flyers","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Francis' Ladybug Boogie","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Games of the Boardwalk","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Golden Zephyr","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Grizzly River Run","20","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Heimlich's Chew Chew Train","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","It's Tough to be a Bug!","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Jumpin' Jellyfish","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","King Triton's Carousel","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Mickey's Fun Wheel","20","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Monsters, Inc. Mike & Sulley to the Rescue!","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Princess Dot Puddle Park","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Redwood Creek Challenge Trail","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Soarin' Around the World","15","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Sorcerer's Workshop","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","The Bakery Tour","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Guardians of the Galaxy – Mission: BREAKOUT!","40","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Toy Story Midway Mania!","45","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Tuck and Roll's Drive 'Em Buggies","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Turtle Talk with Crush","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Silly Symphony Swings","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","The Little Mermaid - Ariel's Undersea Adventure","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Goofy's Sky School","10","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","World of Color","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Radiator Springs Racers","55","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Mater's Junkyard Jamboree","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Red Car Trolley","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Red Car Trolley - Hollywood Land","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Red Car Trolley - Carthay Circle","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Luigi's Rollickin' Roadsters","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Frozen at Disneyland Resort","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Disney's ""Moana” Sneak Peek","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Hero Action Center","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Disney•Pixar's ""Cars 3"" Sneak Peek","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Summer of Heroes Showcase","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Mater's Graveyard Jam-BOO-ree","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"California Adventure","Luigi's Honkin' Haul-O-Ween","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Astro Orbitor","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Autopia","20","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Big Thunder Mountain Railroad","20","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Buzz Lightyear Astro Blasters ","15","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Casey Jr. Circus Train","0","Down","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Chip 'n Dale Treehouse","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Davy Crockett's Explorer Canoes","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Disneyland Monorail","5","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Disneyland Railroad","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Donald's Boat","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Dumbo the Flying Elephant","30","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Enchanted Tiki Room","10","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Finding Nemo Submarine Voyage","45","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Fire Engine, presented by National Car Rental","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Frontierland Shootin' Exposition","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Gadget's Go Coaster","20","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Goofy's Playhouse","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Haunted Mansion","15","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Horse-Drawn Streetcars, presented by National Car Rental","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Horseless Carriage, presented by National Car Rental","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Indiana Jones Adventure ","0","Down","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Jungle Cruise","15","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","King Arthur Carrousel","15","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Mad Tea Party ","10","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Main Street Cinema","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Mark Twain Riverboat","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Matterhorn Bobsleds","40","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Mickey's House and Meet Mickey","10","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Minnie's House","0","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Mr. Toad's Wild Ride ","15","Operating","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
"Disneyland","Omnibus, presented by National Car Rental","0","Closed","Sat Jul 15 2017 15:25:02 GMT-0700 (PDT)"
